,name,description
0,Lipstick,"All of our products are free from lead and heavy metals, parabens, phthalates, artificial colourants, and synthetic fragrances.  Boosh lipstick glides on smoothly for clean & protective SPF coverage. They are filled with hydrating oils and butters to preserve and enhance your lips natural surface. Organic sweet orange oil gives a light and cheerful scent."
1,Lipstick,"A pure and creamy lipstick by MarieNatie formulated with organic jojoba, avocado, and coconut oil which are rich in anti-oxidants and have moisturizing benefits. Enriched with naturally derived organic mango and cocoa butters that will soothe, hydrate and regenerate dry lips."
2,Conch Lipstick,"Coastal Classic Creations Conch Lipstick is a flattering, stylish, rich winterberry color. This lipstick is paraben-free and vegan and contains sunflower oil which is rich in Vitamin E and which may protect against damage from the sun. To boost the product's effectiveness, we add sesame seed oil which contains Vitamins E, D, and B complex to provide moisture and neutralize free radicals. Companions well with Boysenberry Lip Crayon."
3,Luv Out Loud Liquid Lipstick,"What qualities make a person beautiful? Passion, confidence and fearlessness, to name a few. Available in six velvety-matte shades, our new Luv Out Loud Liquid Lipsticks capture the attributes we at NYX Professional Makeup find truly beautiful. Gift one, two-or all six lippies to a friend who rocks these amazing qualities and inspires you to live (and luv!) out loud."
4,In Your Element Lipstick - Metal,"A match made in makeup heaven! Our new In Your Element Lipstick Metal collection pairs perfectly with our sparkle inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from metallic gold, to glossy deep-berry and metallic bronze. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click."
5,In Your Element Lipstick - Water,"A match made in makeup heaven! Our new In Your Element Lipstick Water collection pairs perfectly with our heat-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from metallic black-violet, to matte true nude and glossy plum. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click."
6,In Your Element Lipstick - Wind,"A match made in makeup heaven! Our new In Your Element Lipstick Wind collection pairs perfectly with our breeze-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from glossy nude, to matte navy blue and metallic brown with blue pearl. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click."
7,In Your Element Lipstick - Fire,"A match made in makeup heaven! Our new In Your Element Lipstick Fire collection pairs perfectly with our heat-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from matte red, to glossy black and matte, warm mauve. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click."
8,In Your Element Lipstick - Air,
9,In Your Element Lipstick - Earth,"A match made in makeup heaven! Our new In Your Element Lipstick Earth collection pairs perfectly with our nature-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from deep metallic copper, to glossy, deep berry and matte brown. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click."
10,Butter Lipstick,"Treat your lips to a kiss of smooth, creamy color with our irresistible Butter Lipsticks in 12 new luscious shades. The formula???delicate satin texture fused with highly saturated color delivers full-yet-lightweight coverage with a luxurious satin finish."
11,Extra Creamy Round Lipstick,"Extra Creamy Round Lipstick is our classic lipstick for all occasions. The mineral-based emollient formula offers a beautiful velvet texture, saturated color and it resists wear and smudging. It???your go-to lipstick. From Pure Nude to Pink Lyric to Chic Red, Round Lipstick is available in a jaw-dropping variety of shades."
12,Matte Lipstick,"Load your lips with plush, pigment-rich color choosing from 12 brand new shades of Matte Lipstick?遊췼r shockingly smooth lip color that glides right on and stays in place with a silky matte finish that never feels dry. Now available in a range of fresh new hues, these playful pops of color are just what your spring wardrobe needs!"
13,Full Throttle Lipstick,"It???the color addict???ultimate fix and a makeup artist???dream: Our new waterproof Full Throttle Lipstick covers your lips with super-saturated matte color and features a unique bullet with a beveled edge for lining, filling and perfecting your pout to your heart???desire."
14,Plush Gel Lipstick,"Play up your pout with a silky stroke of Plush Gel Lipstick. Available in 12 totally vibrant shades, this lippie brings together an oh-so-soft feel and the high shine of a gloss. Drench lips in a wash of color for an instantly polished look anytime you crave a quick touch-up. Want a bolder finish? (Yes, please!) A second swipe is twice as nice."
15,Velvet Matte Lipstick,"Dress your lips in decadent color with our Velvet Matte Lipstick--a luxurious new lip color that glides right on and never feels dry. Housed in an elegant soft-touch case, each standout shade is a fashion statement in itself."
16,Turnt Up! Lipstick,"Speak volumes with a bold swipe of Turnt Up! Lipstick. Go as soft or get as loud as you like using our wide range of 22 statement-making shades. From chic nudes to deep vampy hues, these lightweight and creamy lippies glide on effortlessly. Leaving lips with a kiss of shine and high-impact color you can count on for an unforgettable look."
17,Pin-Up Pout Lipstick,"From polka dots to pointy pumps, nothing compares to the classics. Our personal fave? Ever so creamy lip color, of course! Take yourself back to the signature lip that started it all with our Pin-Up Pout Lipstick. Inspired by the best of vintage beauty, this retro rouge covers lips in extra plush, richly pigmented and absolutely undeniable color. Our throwback lipstick also offers beautiful coverage in an array of 24 swoon-worthy shades."
18,Super Cliquey Matte Lipstick,
19,Liquid Suede Cream Lipstick,"Doll up your lips in plush and vibrant color! Our Liquid Suede Cream Lipstick glides on and sets into a striking matte finish. Now available in 12 more velvety-soft shades, this waterproof lippie creates a positively polished look with every swipe."
